ID,Vraag,Antwoord,Taal vraag,Taal antwoord,Methode en hoofdstuk
107,houden van / graag doen,love,Nederlands,Engels,AllRight2-1v-H1-NE
108,sturen / versturen,send,Nederlands,Engels,AllRight2-1v-H1-NE
109,zanger,singer,Nederlands,Engels,AllRight2-1v-H1-NE
110,vader,father / dad,Nederlands,Engels,AllRight2-1v-H1-NE
111,nu,now,Nederlands,Engels,AllRight2-1v-H1-NE
112,Amerikaans,American,Nederlands,Engels,AllRight2-1v-H1-NE
113,Engels,English,Nederlands,Engels,AllRight2-1v-H1-NE
114,vergeten,forget,Nederlands,Engels,AllRight2-1v-H1-NE
115,gaan,go,Nederlands,Engels,AllRight2-1v-H1-NE
116,moeder,mom / mum / mother,Nederlands,Engels,AllRight2-1v-H1-NE
117,alsjeblieft / alstublieft,please,Nederlands,Engels,AllRight2-1v-H1-NE
118,ook,too / also,Nederlands,Engels,AllRight2-1v-H1-NE
119,arrive,aankomen,Engels,Nederlands,AllRight2-1v-H2-EN
120,carry,dragen,Engels,Nederlands,AllRight2-1v-H2-EN
121,container,flesje / potje,Engels,Nederlands,AllRight2-1v-H2-EN
122,customs,douane,Engels,Nederlands,AllRight2-1v-H2-EN
123,imagine,zich voorstellen,Engels,Nederlands,AllRight2-1v-H2-EN
124,impossible,onmogelijk,Engels,Nederlands,AllRight2-1v-H2-EN
125,invite,uitnodigen,Engels,Nederlands,AllRight2-1v-H2-EN
126,decide,beslissen,Engels,Nederlands,AllRight2-1v-H2-EN
127,journey,reis,Engels,Nederlands,AllRight2-1v-H2-EN
128,knife,mes,Engels,Nederlands,AllRight2-1v-H2-EN
129,liquid,vloeistof,Engels,Nederlands,AllRight2-1v-H2-EN
130,look after,zorgen voor,Engels,Nederlands,AllRight2-1v-H2-EN
131,luggage / baggage,bagage,Engels,Nederlands,AllRight2-1v-H2-EN
132,next,volgende,Engels,Nederlands,AllRight2-1v-H2-EN
133,next to,naast,Engels,Nederlands,AllRight2-1v-H2-EN
134,on time,op tijd,Engels,Nederlands,AllRight2-1v-H2-EN
135,pair of scissors,schaar,Engels,Nederlands,AllRight2-1v-H2-EN
136,suitcase,koffer,Engels,Nederlands,AllRight2-1v-H2-EN
137,terminal,vertrekhal,Engels,Nederlands,AllRight2-1v-H2-EN
138,security,beveiliging,Engels,Nederlands,AllRight2-1v-H2-EN
139,announcement,bericht / aankondiging,Engels,Nederlands,AllRight2-1v-H2-EN
140,billion,miljard,Engels,Nederlands,AllRight2-1v-H2-EN
141,board,instappen,Engels,Nederlands,AllRight2-1v-H2-EN
142,cancel,annuleren / afzeggen,Engels,Nederlands,AllRight2-1v-H2-EN
143,challenge,uitdaging,Engels,Nederlands,AllRight2-1v-H2-EN
144,check-in desk,incheckbalie,Engels,Nederlands,AllRight2-1v-H2-EN
145,closed,dicht / gesloten,Engels,Nederlands,AllRight2-1v-H2-EN
146,engine,motor,Engels,Nederlands,AllRight2-1v-H2-EN
147,enter,binnengaan,Engels,Nederlands,AllRight2-1v-H2-EN
148,ghost,geest / spook,Engels,Nederlands,AllRight2-1v-H2-EN
149,legend,legende,Engels,Nederlands,AllRight2-1v-H2-EN
150,passenger,passagier,Engels,Nederlands,AllRight2-1v-H2-EN
151,platform,perron,Engels,Nederlands,AllRight2-1v-H2-EN
152,railway,spoorweg,Engels,Nederlands,AllRight2-1v-H2-EN
153,share,delen,Engels,Nederlands,AllRight2-1v-H2-EN
154,space,ruimte,Engels,Nederlands,AllRight2-1v-H2-EN
155,staff,personeel,Engels,Nederlands,AllRight2-1v-H2-EN
156,Underground / Tube,ondergrondse / metro,Engels,Nederlands,AllRight2-1v-H2-EN
157,blush,blozen,Engels,Nederlands,AllRight2-1v-H2-EN
158,happen,gebeuren,Engels,Nederlands,AllRight2-1v-H2-EN
159,horrible / terrible,verschrikkelijk,Engels,Nederlands,AllRight2-1v-H2-EN
160,huge,heel groot / enorm,Engels,Nederlands,AllRight2-1v-H2-EN
161,interest,interesse / hobby,Engels,Nederlands,AllRight2-1v-H2-EN
162,lose,verliezen / kwijtraken,Engels,Nederlands,AllRight2-1v-H2-EN
163,move,verhuizen,Engels,Nederlands,AllRight2-1v-H2-EN
164,nightmare,nachtmerrie,Engels,Nederlands,AllRight2-1v-H2-EN
165,remember,onthouden,Engels,Nederlands,AllRight2-1v-H2-EN
166,shout,schreeuwen / hard roepen,Engels,Nederlands,AllRight2-1v-H2-EN
167,test,toets / proefwerk,Engels,Nederlands,AllRight2-1v-H2-EN
168,theme park,themapark / pretpark,Engels,Nederlands,AllRight2-1v-H2-EN
169,try,proberen,Engels,Nederlands,AllRight2-1v-H2-EN
170,dinner,avondeten,Engels,Nederlands,AllRight2-1v-H2-EN
171,sure,zeker,Engels,Nederlands,AllRight2-1v-H2-EN
172,tonight,vanavond,Engels,Nederlands,AllRight2-1v-H2-EN
173,top,truitje,Engels,Nederlands,AllRight2-1v-H2-EN
174,usually,gewoon / gewoonlijk,Engels,Nederlands,AllRight2-1v-H2-EN
175,vliegveld / luchthaven,airport,Nederlands,Engels,AllRight2-1v-H2-NE
176,vragen,ask,Nederlands,Engels,AllRight2-1v-H2-NE
177,tas,bag,Nederlands,Engels,AllRight2-1v-H2-NE
178,meenemen,bring,Nederlands,Engels,AllRight2-1v-H2-NE
179,kopen,buy,Nederlands,Engels,AllRight2-1v-H2-NE
180,controleren,check,Nederlands,Engels,AllRight2-1v-H2-NE
181,kiezen,choose,Nederlands,Engels,AllRight2-1v-H2-NE
182,kleren,clothes,Nederlands,Engels,AllRight2-1v-H2-NE
183,moeilijk,difficult,Nederlands,Engels,AllRight2-1v-H2-NE
184,gemakkelijk / makkelijk,easy,Nederlands,Engels,AllRight2-1v-H2-NE
185,vlucht,flight,Nederlands,Engels,AllRight2-1v-H2-NE
186,vliegen,fly,Nederlands,Engels,AllRight2-1v-H2-NE
187,uur,hour,Nederlands,Engels,AllRight2-1v-H2-NE
188,weten,know,Nederlands,Engels,AllRight2-1v-H2-NE
189,nodig hebben,need,Nederlands,Engels,AllRight2-1v-H2-NE
190,inpakken,pack,Nederlands,Engels,AllRight2-1v-H2-NE
191,feest,party,Nederlands,Engels,AllRight2-1v-H2-NE
192,afscheid nemen,say goodbye,Nederlands,Engels,AllRight2-1v-H2-NE
193,tussen,between,Nederlands,Engels,AllRight2-1v-H2-NE
194,camera / fototoestel,camera,Nederlands,Engels,AllRight2-1v-H2-NE
195,snel,fast,Nederlands,Engels,AllRight2-1v-H2-NE
196,moeilijk,hard / difficult,Nederlands,Engels,AllRight2-1v-H2-NE
197,zwaar,heavy,Nederlands,Engels,AllRight2-1v-H2-NE
198,trui,jumper / sweater,Nederlands,Engels,AllRight2-1v-H2-NE
199,leuk / aardig,nice,Nederlands,Engels,AllRight2-1v-H2-NE
200,nacht,night,Nederlands,Engels,AllRight2-1v-H2-NE
201,geluid,noise,Nederlands,Engels,AllRight2-1v-H2-NE
202,mogelijk,possible,Nederlands,Engels,AllRight2-1v-H2-NE
203,verhaal,story,Nederlands,Engels,AllRight2-1v-H2-NE
204,vreemd,strange,Nederlands,Engels,AllRight2-1v-H2-NE
205,kaartje,ticket,Nederlands,Engels,AllRight2-1v-H2-NE
206,trein,train,Nederlands,Engels,AllRight2-1v-H2-NE
207,sportschoenen,trainers,Nederlands,Engels,AllRight2-1v-H2-NE
208,vrouw,woman,Nederlands,Engels,AllRight2-1v-H2-NE
209,achter,behind,Nederlands,Engels,AllRight2-1v-H2-NE
210,eten,eat,Nederlands,Engels,AllRight2-1v-H2-NE
211,fijn vinden / leuk vinden,enjoy,Nederlands,Engels,AllRight2-1v-H2-NE
212,ijsje / ijs,icecream,Nederlands,Engels,AllRight2-1v-H2-NE
213,lachen,laugh,Nederlands,Engels,AllRight2-1v-H2-NE
214,op vakantie,on holiday,Nederlands,Engels,AllRight2-1v-H2-NE
215,slapen,sleep,Nederlands,Engels,AllRight2-1v-H2-NE
216,winkel,store / shop,Nederlands,Engels,AllRight2-1v-H2-NE
217,trui,sweater,Nederlands,Engels,AllRight2-1v-H2-NE
218,denken / vinden,think,Nederlands,Engels,AllRight2-1v-H2-NE
219,wachten,wait,Nederlands,Engels,AllRight2-1v-H2-NE
220,willen,want,Nederlands,Engels,AllRight2-1v-H2-NE
221,bellen,call / phone,Nederlands,Engels,AllRight2-1v-H2-NE
222,thuis komen,get home,Nederlands,Engels,AllRight2-1v-H2-NE
223,thuis,home,Nederlands,Engels,AllRight2-1v-H2-NE
224,spijkerbroek,jeans,Nederlands,Engels,AllRight2-1v-H2-NE
225,schoenen,shoes,Nederlands,Engels,AllRight2-1v-H2-NE
226,laten zien,show,Nederlands,Engels,AllRight2-1v-H2-NE
227,oom,uncle,Nederlands,Engels,AllRight2-1v-H2-NE
228,soms,sometimes,Nederlands,Engels,AllRight2-1v-H2-NE
229,covered,bedekt,Engels,Nederlands,AllRight2-1v-H3-EN
230,afterwards,naderhand / erna,Engels,Nederlands,AllRight2-1v-H3-EN
231,bone,bot,Engels,Nederlands,AllRight2-1v-H3-EN
232,cab,taxi,Engels,Nederlands,AllRight2-1v-H3-EN
233,collection,verzameling,Engels,Nederlands,AllRight2-1v-H3-EN
234,crowded,druk,Engels,Nederlands,AllRight2-1v-H3-EN
235,definitely / absolutely,beslist / zeker weten,Engels,Nederlands,AllRight2-1v-H3-EN
236,fossil,fossiel,Engels,Nederlands,AllRight2-1v-H3-EN
237,joke,grap,Engels,Nederlands,AllRight2-1v-H3-EN
238,list,lijst,Engels,Nederlands,AllRight2-1v-H3-EN
239,lovely / beautiful,mooi,Engels,Nederlands,AllRight2-1v-H3-EN
240,noisy,lawaaiig,Engels,Nederlands,AllRight2-1v-H3-EN
241,plenty,veel,Engels,Nederlands,AllRight2-1v-H3-EN
242,polar bear,ijsbeer,Engels,Nederlands,AllRight2-1v-H3-EN
243,powerful,sterk,Engels,Nederlands,AllRight2-1v-H3-EN
244,scary,eng / angstaanjagend,Engels,Nederlands,AllRight2-1v-H3-EN
245,skyscraper,wolkenkrabber,Engels,Nederlands,AllRight2-1v-H3-EN
246,take a shower,douchen,Engels,Nederlands,AllRight2-1v-H3-EN
247,teeth,tanden,Engels,Nederlands,AllRight2-1v-H3-EN
248,wide,breed,Engels,Nederlands,AllRight2-1v-H3-EN
249,wrinkly,rimpelig,Engels,Nederlands,AllRight2-1v-H3-EN
250,attraction,bezienswaardigheid,Engels,Nederlands,AllRight2-1v-H3-EN
251,celebrity,beroemdheid,Engels,Nederlands,AllRight2-1v-H3-EN
252,chain,ketting,Engels,Nederlands,AllRight2-1v-H3-EN
253,character,personage,Engels,Nederlands,AllRight2-1v-H3-EN
254,doorstep,drempel,Engels,Nederlands,AllRight2-1v-H3-EN
255,experience,ervaring,Engels,Nederlands,AllRight2-1v-H3-EN
256,impressive,indrukwekkend,Engels,Nederlands,AllRight2-1v-H3-EN
257,independence,onafhankelijkheid,Engels,Nederlands,AllRight2-1v-H3-EN
258,law,wet,Engels,Nederlands,AllRight2-1v-H3-EN
259,progress,vooruitgang,Engels,Nederlands,AllRight2-1v-H3-EN
260,represent,staan voor / betekenen,Engels,Nederlands,AllRight2-1v-H3-EN
261,science,wetenschap,Engels,Nederlands,AllRight2-1v-H3-EN
262,sign,bord,Engels,Nederlands,AllRight2-1v-H3-EN
263,site,locatie / plek,Engels,Nederlands,AllRight2-1v-H3-EN
264,Statue of Liberty,Vrijheidsbeeld,Engels,Nederlands,AllRight2-1v-H3-EN
265,torch,fakkel,Engels,Nederlands,AllRight2-1v-H3-EN
266,tour guide,gids,Engels,Nederlands,AllRight2-1v-H3-EN
267,attack,aanval / aanslag,Engels,Nederlands,AllRight2-1v-H3-EN
268,bathtub,badkuip,Engels,Nederlands,AllRight2-1v-H3-EN
269,chocolate bar,chocoladereep,Engels,Nederlands,AllRight2-1v-H3-EN
270,gumball,kauwgombal,Engels,Nederlands,AllRight2-1v-H3-EN
271,local,plaatselijk,Engels,Nederlands,AllRight2-1v-H3-EN
272,lover,liefhebber,Engels,Nederlands,AllRight2-1v-H3-EN
273,neighborhood / neighbourhood,buurt,Engels,Nederlands,AllRight2-1v-H3-EN
274,offer,bieden / aanbieden,Engels,Nederlands,AllRight2-1v-H3-EN
275,owner,eigenaar,Engels,Nederlands,AllRight2-1v-H3-EN
276,regret,spijt krijgen / spijt hebben,Engels,Nederlands,AllRight2-1v-H3-EN
277,selection,keuze / assortiment,Engels,Nederlands,AllRight2-1v-H3-EN
278,view,uitzicht,Engels,Nederlands,AllRight2-1v-H3-EN
279,art,kunst,Engels,Nederlands,AllRight2-1v-H3-EN
280,cafeteria,kantine,Engels,Nederlands,AllRight2-1v-H3-EN
281,chemistry,scheikunde,Engels,Nederlands,AllRight2-1v-H3-EN
282,clever,slim,Engels,Nederlands,AllRight2-1v-H3-EN
283,drawing,tekenen,Engels,Nederlands,AllRight2-1v-H3-EN
284,fair,licht,Engels,Nederlands,AllRight2-1v-H3-EN
285,strict,streng,Engels,Nederlands,AllRight2-1v-H3-EN
286,boom,tree,Nederlands,Engels,AllRight2-1v-H3-NE
287,rondrit / rondreis,tour,Nederlands,Engels,AllRight2-1v-H3-NE
288,bijna,almost,Nederlands,Engels,AllRight2-1v-H3-NE
289,mooi,beautiful / nice,Nederlands,Engels,AllRight2-1v-H3-NE
290,gebouw,building,Nederlands,Engels,AllRight2-1v-H3-NE
291,druk,busy,Nederlands,Engels,AllRight2-1v-H3-NE
292,genoeg,enough,Nederlands,Engels,AllRight2-1v-H3-NE
293,geschiedenis,history,Nederlands,Engels,AllRight2-1v-H3-NE
294,poot / been,leg,Nederlands,Engels,AllRight2-1v-H3-NE
295,bewegen,move,Nederlands,Engels,AllRight2-1v-H3-NE
296,schaatsen,skate,Nederlands,Engels,AllRight2-1v-H3-NE
297,soms,sometimes,Nederlands,Engels,AllRight2-1v-H3-NE
298,straat,street,Nederlands,Engels,AllRight2-1v-H3-NE
299,zomer,summer,Nederlands,Engels,AllRight2-1v-H3-NE
300,zwemmen,swim,Nederlands,Engels,AllRight2-1v-H3-NE
301,hoog / lang,tall,Nederlands,Engels,AllRight2-1v-H3-NE
302,overmorgen,the day after tomorrow,Nederlands,Engels,AllRight2-1v-H3-NE
303,morgen,tomorrow,Nederlands,Engels,AllRight2-1v-H3-NE
304,wandeling,walk,Nederlands,Engels,AllRight2-1v-H3-NE
305,geel,yellow,Nederlands,Engels,AllRight2-1v-H3-NE
306,dierentuin,zoo,Nederlands,Engels,AllRight2-1v-H3-NE
307,klimmen,climb,Nederlands,Engels,AllRight2-1v-H3-NE
308,bedrijf,company,Nederlands,Engels,AllRight2-1v-H3-NE
309,gezicht,face,Nederlands,Engels,AllRight2-1v-H3-NE
310,hoofd,head,Nederlands,Engels,AllRight2-1v-H3-NE
311,hoog,high,Nederlands,Engels,AllRight2-1v-H3-NE
312,oranje,orange,Nederlands,Engels,AllRight2-1v-H3-NE
313,scherm,screen,Nederlands,Engels,AllRight2-1v-H3-NE
314,klein,small,Nederlands,Engels,AllRight2-1v-H3-NE
315,proberen,try,Nederlands,Engels,AllRight2-1v-H3-NE
316,fles,bottle,Nederlands,Engels,AllRight2-1v-H3-NE
317,snoepje / snoep,candy,Nederlands,Engels,AllRight2-1v-H3-NE
318,veerboot / veerpont,ferry / ferryboat,Nederlands,Engels,AllRight2-1v-H3-NE
319,geschenk / cadeau,gift / present,Nederlands,Engels,AllRight2-1v-H3-NE
320,belangrijk,important,Nederlands,Engels,AllRight2-1v-H3-NE
321,groot,large,Nederlands,Engels,AllRight2-1v-H3-NE
322,schilderij,painting,Nederlands,Engels,AllRight2-1v-H3-NE
323,foto,picture,Nederlands,Engels,AllRight2-1v-H3-NE
324,snoep / zoet,sweet,Nederlands,Engels,AllRight2-1v-H3-NE
325,muur,wall,Nederlands,Engels,AllRight2-1v-H3-NE
326,blauw,blue,Nederlands,Engels,AllRight2-1v-H3-NE
327,zwart,black,Nederlands,Engels,AllRight2-1v-H3-NE
328,bruin,brown,Nederlands,Engels,AllRight2-1v-H3-NE
329,kaas,cheese,Nederlands,Engels,AllRight2-1v-H3-NE
330,idee,idea,Nederlands,Engels,AllRight2-1v-H3-NE
331,vak,subject,Nederlands,Engels,AllRight2-1v-H3-NE
332,dun / mager,thin,Nederlands,Engels,AllRight2-1v-H3-NE
333,vandaag,today,Nederlands,Engels,AllRight2-1v-H3-NE
334,zuur,sour,Nederlands,Engels,AllRight2-1v-H3-NE
335,a pain,een lastpak,Engels,Nederlands,AllRight2-1v-H4-EN
336,atmosphere,sfeer,Engels,Nederlands,AllRight2-1v-H4-EN
337,avoid,vermijden,Engels,Nederlands,AllRight2-1v-H4-EN
338,brightly coloured,felgekleurd,Engels,Nederlands,AllRight2-1v-H4-EN
339,chilled,gekoeld,Engels,Nederlands,AllRight2-1v-H4-EN
340,competition,wedstrijd,Engels,Nederlands,AllRight2-1v-H4-EN
341,ear muffs,oorwarmers,Engels,Nederlands,AllRight2-1v-H4-EN
342,event,evenement,Engels,Nederlands,AllRight2-1v-H4-EN
343,fluffy,pluizig,Engels,Nederlands,AllRight2-1v-H4-EN
344,forest,bos / woud,Engels,Nederlands,AllRight2-1v-H4-EN
345,get together,samenkomen,Engels,Nederlands,AllRight2-1v-H4-EN
346,hiking,wandelen,Engels,Nederlands,AllRight2-1v-H4-EN
347,grizzly / grizzly bear,grizzlybeer,Engels,Nederlands,AllRight2-1v-H4-EN
348,Never mind,maakt niet uit,Engels,Nederlands,AllRight2-1v-H4-EN
349,sausage,worst,Engels,Nederlands,AllRight2-1v-H4-EN
350,stay,verblijven,Engels,Nederlands,AllRight2-1v-H4-EN
351,weird / strange,vreemd / raar,Engels,Nederlands,AllRight2-1v-H4-EN
352,award / prize,prijs,Engels,Nederlands,AllRight2-1v-H4-EN
353,discovery,ontdekking,Engels,Nederlands,AllRight2-1v-H4-EN
354,dog sled,hondenslee,Engels,Nederlands,AllRight2-1v-H4-EN
355,good-looking / handsome,knap,Engels,Nederlands,AllRight2-1v-H4-EN
356,imagination,verbeelding / fantasie,Engels,Nederlands,AllRight2-1v-H4-EN
357,impress,goede indruk maken op,Engels,Nederlands,AllRight2-1v-H4-EN
358,judge,jurylid,Engels,Nederlands,AllRight2-1v-H4-EN
359,mountain,berg,Engels,Nederlands,AllRight2-1v-H4-EN
360,patient,geduldig,Engels,Nederlands,AllRight2-1v-H4-EN
361,recognize,herkennen,Engels,Nederlands,AllRight2-1v-H4-EN
362,report,verslag uitbrengen,Engels,Nederlands,AllRight2-1v-H4-EN
363,return,terugkomen / terugkeren,Engels,Nederlands,AllRight2-1v-H4-EN
364,rubbish,rotzooi / rommel,Engels,Nederlands,AllRight2-1v-H4-EN
365,series,serie,Engels,Nederlands,AllRight2-1v-H4-EN
366,sleeping bag,slaapzak,Engels,Nederlands,AllRight2-1v-H4-EN
367,suppose,vermoeden / denken,Engels,Nederlands,AllRight2-1v-H4-EN
368,various,verschillend,Engels,Nederlands,AllRight2-1v-H4-EN
369,vote,stemmen,Engels,Nederlands,AllRight2-1v-H4-EN
370,camping,kamperen,Engels,Nederlands,AllRight2-1v-H4-EN
371,candle,kaars,Engels,Nederlands,AllRight2-1v-H4-EN
372,celebrate,vieren,Engels,Nederlands,AllRight2-1v-H4-EN
373,celebration,feest / viering,Engels,Nederlands,AllRight2-1v-H4-EN
374,countryside,platteland,Engels,Nederlands,AllRight2-1v-H4-EN
375,fireworks,vuurwerk,Engels,Nederlands,AllRight2-1v-H4-EN
376,last,duren,Engels,Nederlands,AllRight2-1v-H4-EN
377,look forward to,uitzien naar / zin hebben in,Engels,Nederlands,AllRight2-1v-H4-EN
378,originally,oorspronkelijk,Engels,Nederlands,AllRight2-1v-H4-EN
379,probably,waarschijnlijk,Engels,Nederlands,AllRight2-1v-H4-EN
380,raisin,rozijn,Engels,Nederlands,AllRight2-1v-H4-EN
381,sunrise,zonsopkomst,Engels,Nederlands,AllRight2-1v-H4-EN
382,anyway,toch,Engels,Nederlands,AllRight2-1v-H4-EN
383,be a shame,jammer zijn / spijtig,Engels,Nederlands,AllRight2-1v-H4-EN
384,catch,verstaan / opvangen,Engels,Nederlands,AllRight2-1v-H4-EN
